id_nestbox;id_patch;cost_to_patch;patch_area;perim;ccF_d1_beta0;ccF_d2_beta0;ccF_d3_beta0;ccF_d1_beta1;ccF_d2_beta1;ccF_d3_beta1;ccRr_d1_capa1;ccRr_d2_capa1;ccRr_d3_capa1;ccRr_d1_capa2;ccRr_d2_capa2;ccRr_d3_capa2;ccDr_capa1;ccDr_capa2
DIJ-001;32923;0;2974;800;14,62262991;62,83742238;759,1332202;4299,819491;9935,381383;70190,40473;0,093557314;0,199953467;0,419433033;0,043666156;0,093324604;0,195762656;3510,942898;4976,109819
DIJ-002;32923;0;2974;800;14,62262991;62,83742238;759,1332202;4299,819491;9935,381383;70190,40473;0,093557314;0,199953467;0,419433033;0,043666156;0,093324604;0,195762656;3510,942898;4976,109819
DIJ-003;32328;0;1373;366;15,96739143;65,32390586;752,5608653;7319,119183;12224,81429;71046,80734;0,105692238;0,202551706;0,416063121;0,049329909;0,094537285;0,194189811;3550,808859;5041,480531
DIJ-004;32328;0;1373;366;15,96739143;65,32390586;752,5608653;7319,119183;12224,81429;71046,80734;0,105692238;0,202551706;0,416063121;0,049329909;0,094537285;0,194189811;3550,808859;5041,480531
DIJ-005;31461;0;4824;1356;19,88863528;75,98678387;796,0893054;3540,107685;9195,930406;70831,90396;0,103571124;0,212978121;0,433390839;0,048339918;0,099403622;0,202277205;3459,006295;4947,123716
DIJ-006;31461;0;4824;1356;19,88863528;75,98678387;796,0893054;3540,107685;9195,930406;70831,90396;0,103571124;0,212978121;0,433390839;0,048339918;0,099403622;0,202277205;3459,006295;4947,123716
DIJ-007;31461;0;4824;1356;19,88863528;75,98678387;796,0893054;3540,107685;9195,930406;70831,90396;0,103571124;0,212978121;0,433390839;0,048339918;0,099403622;0,202277205;3459,006295;4947,123716
DIJ-008;31461;34,8492428;4824;1356;19,88863528;75,98678387;796,0893054;3540,107685;9195,930406;70831,90396;0,103571124;0,212978121;0,433390839;0,048339918;0,099403622;0,202277205;3459,006295;4947,123716
DIJ-009;32672;0;259;126;7,669281725;54,81612847;735,5117496;5509,61678;11076,96036;70579,35785;0,072622579;0,182616366;0,398217577;0,033895254;0,085232831;0,185860732;3586,966762;5019,652202
DIJ-010;32709;0;1580;474;9,786058995;50,24040756;863,49212;5004,822207;9994,798773;89069,02346;0,075361456;0,190704097;0,475308477;0,035173574;0,089007631;0,22312695;3120,703177;4382,41553
DIJ-011;32147;0;228;138;5,440319257;45,32042045;854,5373706;1569,281067;9097,360741;91101,50448;0,014033625;0,196768705;0,463711647;0,006549937;0,091838175;0,219624089;3103,895991;4380,248807
DIJ-012;30871;0;4013;1158;13,26968346;58,33143948;906,6414753;2646,557262;8066,884369;90519,78876;0,074190547;0,202475821;0,493768678;0,034627074;0,094501866;0,234126403;3059,604147;4282,122439
DIJ-012B;32657;9,25;544;210;4,718473906;44,55293997;854,4815508;1390,578244;8925,080954;90696,74891;0,01601072;0,194924997;0,463976734;0,007472709;0,090977658;0,219353884;3124,604672;4373,321875
DIJ-013;30871;0;4013;1158;13,26968346;58,33143948;906,6414753;2646,557262;8066,884369;90519,78876;0,074190547;0,202475821;0,493768678;0,034627074;0,094501866;0,234126403;3059,604147;4282,122439
DIJ-014;30871;0;4013;1158;13,26968346;58,33143948;906,6414753;2646,557262;8066,884369;90519,78876;0,074190547;0,202475821;0,493768678;0,034627074;0,094501866;0,234126403;3059,604147;4282,122439
DIJ-015;30871;0;4013;1158;13,26968346;58,33143948;906,6414753;2646,557262;8066,884369;90519,78876;0,074190547;0,202475821;0,493768678;0,034627074;0,094501866;0,234126403;3059,604147;4282,122439
DIJ-016;78690;0;1215;352;11,07757995;81,06976795;1252,592416;1707,357431;12230,4168;272858,1863;0,033688031;0,297867609;0,671822565;0,015723269;0,139024229;0,500423224;1602,544353;2470,734218
DIJ-016B;55529;0;8146;1222;18,83170899;47,26982972;638,1482106;8056,072059;16376,68234;137266,4235;0,18011159;0,334356285;0,624526394;0,084063773;0,156054648;0,382478422;2267,645482;3187,919757
DIJ-017;78690;9,25;1215;352;11,07757995;81,06976795;1252,592416;1707,357431;12230,4168;272858,1863;0,033688031;0,297867609;0,671822565;0,015723269;0,139024229;0,500423224;1602,544353;2470,734218
DIJ-018;79363;30,5814758;423;126;13,48630838;86,95104732;1271,214748;2762,631284;14045,51832;278783,1128;0,035354066;0,322052074;0,683490446;0,01650086;0,150311884;0,511121732;1589,876878;2423,432278
DIJ-019;78503;44,25;914;230;12,32338529;89,52616383;1295,472395;2135,168331;14695,3318;285596,4245;0,033236796;0,351120837;0,697147582;0,015512664;0,163885139;0,525136043;1542,260606;2421,159774
DIJ-020;78743;170,5;13;16;1,668134059;49,940805;1180,290066;397,5967799;10576,18038;276473,3544;2,53E-04;0,269384017;0,649111881;1,18E-04;0,125730037;0,486633239;1818,083035;2363,780996
DIJ-020B;54608;0;6606;1732;26,15622053;139,2574744;1466,039509;7993,715633;34285,28318;247678,7699;0,176066203;0,642548111;0,833165903;0,082175663;0,350077807;0,689391956;1051,773226;1853,626042
DIJ-021;79418;9,25;25;30;11,1343788;60,40497634;1101,500543;275,3380576;7213,304292;245113,0491;0,002379999;0,17228625;0,596366976;0,001110821;0,080411439;0,42469867;1932,114471;2757,088607
DIJ-021B;54608;0;6606;1732;26,15622053;139,2574744;1466,039509;7993,715633;34285,28318;247678,7699;0,176066203;0,642548111;0,833165903;0,082175663;0,350077807;0,689391956;1051,773226;1853,626042
DIJ-022;80134;0;13;16;9,03616237;69,25718947;1183,453835;981,3593778;9791,662194;264724,0476;0,014424697;0,220689442;0,62874155;0,006732462;0,103002739;0,463952037;1755,255558;2562,841968
DIJ-022B;55189;0;148;74;5,642972397;69,59797184;1256,673382;1166,307218;20913,26568;225745,0677;0,003673223;0,469310836;0,752310591;0,001714409;0,2299071;0,611987054;1296,892547;1955,203732
DIJ-023;76394;26,75;2835;1034;25,86619952;125,8853339;1442,736408;5920,826044;25230,24026;328566,6759;0,103870039;0,52896939;0,780155124;0,048479431;0,249189165;0,6095126;1379,972236;2005,553499
DIJ-023B;54597;0;4492;846;12,36555648;112,2892895;1394,793151;8916,642373;35857,22766;256911,2603;0,152811744;0,609180744;0,817592298;0,071322072;0,38331486;0,711578339;941,4690884;1613,225072
DIJ-024;78834;80,0789518;20;22;9,512473631;78,52812815;1258,240652;1120,340126;14167,00785;288595,7296;0,008253325;0,340467369;0,689220301;0,003852088;0,158906884;0,519893612;1695,484955;2311,228645
DIJ-024B;53066;0;3516;1178;18,76128267;116,583505;1385,152392;11802,81709;41853,23141;262988,4308;0,198536062;0,642502519;0,833144624;0,092663056;0,417386932;0,728048445;920,9245076;1553,515342
DIJ-025;70140;0;2728;646;10,28934815;31,72754217;724,9933542;747,1996893;2547,140826;112500,155;0,040806509;0,07848047;0,253302606;0,019045688;0,036629316;0,118224334;3347,585757;4039,447818
