id_nestbox;id_patch;cost_to_patch;patch_area;perim;pmF_d1_beta0;pmF_d2_beta0;pmF_d3_beta0;pmF_d1_beta1;pmF_d2_beta1;pmF_d3_beta1;pmRr_d1_capa1;pmRr_d2_capa1;pmRr_d3_capa1;pmRr_d1_capa2;pmRr_d2_capa2;pmRr_d3_capa2;pmDr_capa1;pmDr_capa2
DIJ-001;32923;0;2974;800;23,401453;173,3980319;1032,982469;5495,9157;19184,06032;100894,9166;0,117812587;0,271995152;0,678508087;0,054588439;0,126028901;0,43442911;2440,08346;3767,163249
DIJ-002;32923;0;2974;800;23,401453;173,3980319;1032,982469;5495,9157;19184,06032;100894,9166;0,117812587;0,271995152;0,678508087;0,054588439;0,126028901;0,43442911;2440,08346;3767,163249
DIJ-003;32328;0;1373;366;24,66556233;175,3509948;1016,014164;8423,703692;20948,38423;99597,83996;0,131841141;0,277387692;0,676237081;0,061088567;0,128527533;0,426679482;2468,799188;3824,876552
DIJ-004;32328;0;1373;366;24,66556233;175,3509948;1016,014164;8423,703692;20948,38423;99597,83996;0,131841141;0,277387692;0,676237081;0,061088567;0,128527533;0,426679482;2468,799188;3824,876552
DIJ-005;31461;0;4824;1356;31,3005729;197,1579864;1076,822695;4744,672954;18671,00338;101814,3874;0,128724646;0,298515755;0,692216822;0,05964454;0,138317217;0,444350327;2466,737167;3731,081134
DIJ-006;31461;0;4824;1356;31,3005729;197,1579864;1076,822695;4744,672954;18671,00338;101814,3874;0,128724646;0,298515755;0,692216822;0,05964454;0,138317217;0,444350327;2466,737167;3731,081134
DIJ-007;31461;0;4824;1356;31,3005729;197,1579864;1076,822695;4744,672954;18671,00338;101814,3874;0,128724646;0,298515755;0,692216822;0,05964454;0,138317217;0,444350327;2466,737167;3731,081134
DIJ-008;31461;26,3137088;4824;1356;31,3005729;197,1579864;1076,822695;4744,672954;18671,00338;101814,3874;0,128724646;0,298515755;0,692216822;0,05964454;0,138317217;0,444350327;2466,737167;3731,081134
DIJ-009;32672;0;259;126;15,29094425;162,1594775;1002,654456;6859,856881;20163,26696;100520,7231;0,094972653;0,253459426;0,664232628;0,04400556;0,117440376;0,420912539;2511,031832;3871,369306
DIJ-010;32709;0;1580;474;13,80802172;166,3206794;1064,680752;5565,802376;20618,57096;105568,2478;0,091565378;0,272115719;0,701420537;0,0424268;0,126084766;0,496545516;2195,589756;3309,668693
DIJ-011;32147;0;228;138;9,257473598;154,0606463;1041,951217;2560,855678;20564,45207;105651,3854;0,017941804;0,273725215;0,693097011;0,008313331;0,126830525;0,488303579;2358,224844;3305,986826
DIJ-012;30871;0;4013;1158;18,85915039;185,9413931;1125,40115;3367,65316;19558,11623;108482,6568;0,091024775;0,292316362;0,715459953;0,042176312;0,135444729;0,51633877;2101,065367;3193,816926
