id_nestbox;coord_x;coord_y;dist;lsource_0_m;lsource_0_iq;lsource_10_m;lsource_10_iq;lflux_0_m;lflux_0_iq;lflux_10_m;lflux_10_iq;lsource_vs150_m;lsource_vs150_iq;noise_m;noise_iq;soft_manag_area;trafic;woodyveg_volume;woodyveg_sd;build_volume;build_sd;vegetation_area;herbaceous_area;built_area;water_area;age_class;site;strata_div
DIJ-001;854149,4921;6694967,6;50;13;9;41;6,5;121,5053457;54,86792855;128,537542;21,01992207;29;9;56,29543304;12,2890892;0;229312,371;24951,19096;8,003398579;6426,712265;3,755549044;3729;1506;891;0;1;drapeau;3
DIJ-001;854149,4921;6694967,6;100;8,5;8,5;40;9,5;115,4775319;136,8798959;119,3480875;85,62221578;25;13;53,72556686;15,46929264;0;1629152,003;68513,20975;6,00484029;40569,60258;5,278618308;13368;5625;4811;0;1;drapeau;3
DIJ-001;854149,4921;6694967,6;150;9,5;9,5;32;16,75;66,42280181;132,3607922;69,34030596;105,3796076;20;17;50,68798828;14,55056763;0;2725706,403;117821,8026;5,672518256;119263,0864;5,558822933;24786;10564;13971;0;1;drapeau;3
DIJ-001;854149,4921;6694967,6;200;8;10,5;31;21,5;40,36596869;119,0423415;66,53577483;105,0862006;15;17;51,30989456;13,88790035;0;3998468,003;182096,0944;5,208997605;224634,2571;5,21508767;41894;17564;28150;0;1;drapeau;3
DIJ-002;854216,3624;6694982,501;50;9;7;34;8,75;78,88793519;143,1995492;60,9562099;24,29359742;26;10;46,83833313;3,361381531;0;0;33896,99329;6,679973845;6096,454468;4,632947318;5687;2634;367;0;1;drapeau;3
DIJ-002;854216,3624;6694982,501;100;12;10,5;31;17,5;23,66514304;89,27097775;53,08154224;42,52859299;23;15;47,41398239;6,01348114;0;0;100298,4934;5,862361073;45969,6308;5,269059884;17296;7195;4985;0;1;drapeau;3
DIJ-002;854216,3624;6694982,501;150;8;10;30;23;23,95752854;115,3969793;58,0952585;99,30384283;17;18;50,52351761;13,19367981;0;2673881,874;137846,8039;5,608512507;105923,2808;4,41630809;26825;11061;14135;0;1;drapeau;3
DIJ-002;854216,3624;6694982,501;200;6;11;29;24;40,36596869;117,3331322;65,79910638;99,30384283;14;18;53,71529007;14,06229401;0;5465213,997;185404,1119;5,373756527;232040,9421;5,104034561;40883;17517;27901;0;1;drapeau;3
DIJ-003;854265,8611;6694974,876;50;8;11,25;23,5;10,25;23,67858559;35,05045632;35,68027675;24,54018153;17;11;46,39631653;4,841625214;0;0;19256,97141;5,079209191;11978,04169;4,797084287;3632;1427;854;0;1;drapeau;3
DIJ-003;854265,8611;6694974,876;100;10;11;27;15,5;15,31312295;44,16875372;35,57796441;32,10612298;15;16;47,27006912;5,365875244;0;507272,8213;93352,61497;5,863015771;53365,87613;5,136006096;15271;6344;6234;0;1;drapeau;3
DIJ-003;854265,8611;6694974,876;150;6,5;11;26;23;20,48102878;83,70398581;49,09596194;50,91880919;13;18;51,10430527;13,30675507;0;2145643,248;147841,8291;5,490568892;131389,7779;4,931747835;28112;11565;14701;0;1;drapeau;3
DIJ-003;854265,8611;6694974,876;200;6;11;27;23;51,68018156;122,128788;66,53577483;98,4922993;15;16;55,52447128;13,73334885;0;6294514,517;186498,4102;5,408657406;234723,1871;4,93521012;38885;16183;27816;0;1;drapeau;3
DIJ-004;854281,4983;6695007,239;50;10;8;22;11;23,39964265;34,64657502;30,8567862;28,17387946;17;9;46,78693771;2,682937622;0;0;33685,6329;5,091425973;3462,072937;6,006668805;5768;2254;405;0;1;drapeau;2
DIJ-004;854281,4983;6695007,239;100;7;11;25;16;15,31312295;44,16875372;40,50376731;27,88558555;14;15;47,79946136;8,593624115;0;1001148,513;87533,59851;5,46602394;45825,83589;5,125273709;14899;5922;5404;0;1;drapeau;2
DIJ-004;854281,4983;6695007,239;150;7;11;28;24;23,66514304;80,54943678;53,08154224;63,99495445;13;17;50,55949783;13,00864792;0;2315869,852;132946,9548;5,665585928;149039,6404;4,949651232;25295;10459;16007;0;1;drapeau;2
DIJ-004;854281,4983;6695007,239;200;6;10;27,5;22,5;52,79716369;120,2637848;68,25859567;94,27378216;15;16;54,51708603;13,3787117;0;6250591,157;169770,0043;5,47343305;252770,9223;4,964016401;37832;16483;29472;0;1;drapeau;2
DIJ-005;854299,6004;6695042,367;50;13;2,25;19,5;8;11,85624385;9,45422364;31,86069615;11,60076383;13;9,5;48,04103088;6,666225433;0;16834,26195;29116,7601;4,889156843;7951,653351;2,500011289;4583;1541;1332;0;1;drapeau;3
DIJ-005;854299,6004;6695042,367;100;4;11;20;13;15,31312295;29,38034862;40,50376731;36,01882334;13;15;47,99477386;13,4249649;0;1346031,184;66256,70496;4,910557997;66847,5873;5,451453151;12436;4950;6585;0;1;drapeau;3
DIJ-005;854299,6004;6695042,367;150;8;10;27;18;23,95752854;69,03713144;55,05034151;40,22520293;14;15;50,24083328;14,19078445;0;3077566,498;119109,8513;5,584339471;144036,6406;5,232253373;24097;9985;16705;0;1;drapeau;3
DIJ-005;854299,6004;6695042,367;200;6;10;29;23;49,57675778;89,85553504;66,53577483;76,34281857;15;16;53,98255539;13,15256119;0;5582402,097;157588,5391;5,581284287;267352,2848;5,146641147;36964;16247;30221;0;1;drapeau;3
DIJ-006;854256,8141;6695057,276;50;13;6;27;9;11,56883044;5,45698541;30,16446799;7,432599835;18;12;46,79207611;3,500156403;0;29421,39229;30641,3801;4,961166277;7167,411438;2,742081516;4667;1928;1058;0;1;drapeau;2
DIJ-006;854256,8141;6695057,276;100;10;9;29;17;23,39964265;46,0802533;50,2367921;37,14850175;17;18;47,8662796;9,724365234;0;233428,6987;75480,59508;5,001735506;44592,81317;4,407552632;15121;6356;5754;0;1;drapeau;2
DIJ-006;854256,8141;6695057,276;150;7,5;11;31;22,25;32,73438842;86,49933073;66,11838556;74,04017845;15;17;50,46184158;12,26338959;0;2616437,681;127744,5411;5,710393548;124820,2251;5,351093761;26539;11450;15618;0;1;drapeau;2
DIJ-006;854256,8141;6695057,276;200;6;10,5;31;23;43,99606484;117,3029161;68,00528794;91,43477318;15;16;53,99283218;14,11883163;0;6908453,307;158625,4567;5,457230494;232444,2621;5,10948112;37917;16542;28721;0;1;drapeau;2
DIJ-007;854191,5411;6695058,978;50;9,5;6,75;42;4,75;21,48751092;189,9928825;69,85137264;99,5361156;27;12;49,72686005;9,482795715;0;104105,33;22385,24338;4,788897421;5289,194565;2,622322097;4765;2223;828;0;1;drapeau;3
DIJ-007;854191,5411;6695058,978;100;10;7;39,5;10,5;52,79716369;135,2972192;70,45837884;86,86901018;24;17;49,07411575;11,46673203;0;710864,8902;71425,455;6,072511773;28453,06479;3,097354163;14354;6464;4938;0;1;drapeau;3
DIJ-007;854191,5411;6695058,978;150;9;9;35;13;53,91414581;123,0342642;72,91146973;81,38542637;20;17;49,24886703;12,63344955;0;2069683,099;124543,6381;5,785066015;89418,83678;4,340920141;28192;12545;13345;0;1;drapeau;3
DIJ-007;854191,5411;6695058,978;200;6;10,75;32;22,25;36,42664867;114,0318633;67,27283117;88,14024172;16;17;52,27616501;14,35525894;0;5948728,498;168154,4073;5,242611325;209379,2048;5,002816647;42043;18323;28680;0;1;drapeau;3
DIJ-008;854152,1831;6695063,533;50;9;4,5;42;4;95,1723075;144,3664857;133,3309244;65,93848359;28;15,25;55,67352295;11,3163929;0;398488,419;13375,68282;4,474002108;6304,823318;2,205001359;2992;1070;1325;0;1;drapeau;3
