id_nestbox;manag_intensity
DIJ-001;1
DIJ-002;2
DIJ-003;2
DIJ-004;2
DIJ-005;1
DIJ-006;2
DIJ-007;1
DIJ-008;1
DIJ-009;1
DIJ-010;1
DIJ-011;1
DIJ-012;1
DIJ-012B;1
DIJ-013;1
DIJ-014;1
DIJ-015;1
DIJ-016;1
DIJ-016B;1
DIJ-017;1
DIJ-018;1
DIJ-019;1
DIJ-020;2
DIJ-020B;2
DIJ-021;0
DIJ-021B;2
DIJ-022;0
DIJ-022B;2
DIJ-023;1
DIJ-023B;1
DIJ-024;0
DIJ-024B;1
DIJ-025;2
DIJ-026;2
DIJ-027;1
DIJ-028;1
DIJ-029;1
DIJ-030;1
DIJ-031;2
DIJ-032;2
DIJ-033;2
DIJ-034;1
DIJ-035;1
DIJ-036;2
DIJ-037;2
DIJ-038;2
DIJ-039;2
DIJ-040;2
DIJ-041;2
DIJ-042;1
DIJ-043;2
DIJ-044;2
DIJ-045;2
DIJ-046;2
DIJ-047;2
DIJ-048;2
DIJ-049;1
DIJ-050;1
DIJ-051;1
DIJ-052;1
DIJ-053;1
DIJ-054;1
DIJ-055;2
DIJ-056;2
DIJ-057;2
DIJ-058;2
DIJ-059;1
DIJ-060;1
DIJ-061;1
DIJ-062;1
DIJ-063;1
DIJ-064;2
DIJ-065;1
DIJ-066;1
DIJ-067;1
DIJ-068;1
DIJ-069;1
DIJ-070;1
DIJ-071;1
DIJ-072;1
DIJ-073;1
DIJ-074;1
DIJ-075;1
DIJ-076;2
DIJ-077;2
DIJ-078;2
DIJ-079;2
DIJ-080;2
DIJ-081;2
DIJ-082;2
DIJ-083;1
DIJ-084;1
DIJ-085;1
DIJ-086;1
DIJ-087;1
DIJ-088;1
DIJ-089;1
DIJ-090;1
DIJ-091;1
DIJ-092;1
DIJ-093;1
DIJ-094;1
DIJ-095;1
DIJ-096;1
DIJ-097;2
DIJ-098;2
DIJ-099;2
DIJ-100;2
DIJ-101;2
DIJ-102;1
DIJ-103;1
DIJ-104;1
DIJ-105;1
DIJ-106;1
DIJ-107;1
DIJ-108;1
DIJ-109;2
DIJ-110;1
DIJ-111;2
DIJ-112;2
DIJ-113;2
DIJ-114;1
DIJ-115;2
DIJ-115B;2
DIJ-116;1
DIJ-117;1
DIJ-118;1
DIJ-119;1
DIJ-120;1
DIJ-121;1
DIJ-122;1
DIJ-123;1
DIJ-124;1
DIJ-125;0
DIJ-126;1
DIJ-127;1
DIJ-128;1
DIJ-129;1
DIJ-130;1
DIJ-131;1
DIJ-132;2
DIJ-133;2
DIJ-134;2
DIJ-135;2
DIJ-136;2
DIJ-136B;2
DIJ-137;0
DIJ-138;0
DIJ-139;0
DIJ-140;0
DIJ-141;0
DIJ-142;0
DIJ-143;1
DIJ-144;1
DIJ-145;1
DIJ-146;1
DIJ-147;1
DIJ-148;1
DIJ-149;1
DIJ-150;1
DIJ-151;1
DIJ-152;2
DIJ-153;2
DIJ-154;1
DIJ-155;1
DIJ-156;1
DIJ-157;1
DIJ-158;1
DIJ-159;1
DIJ-160;1
DIJ-161;1
DIJ-162;1
DIJ-163;1
DIJ-164;1
DIJ-165;1
DIJ-166;1
DIJ-167;1
DIJ-168;0
DIJ-169;1
DIJ-170;1
DIJ-171;0
