id_nestbox;year;lcz1;dist_lcz;temp_id_lcz;dist_pp;temp_id_pp;temp_id_final
DIJ-002;2020;101;2257,014849;s32;484,3948145;s10;s10
DIJ-003;2021;101;99,14616158;s61;99,14616158;s61;s61
DIJ-004;2019;101;2222,886817;s32;539,5714343;s10;s10
DIJ-004;2020;101;2222,886817;s32;539,5714343;s10;s10
DIJ-005;2021;101;122,9849455;s61;122,9849455;s61;s61
DIJ-005;2022;101;122,9849455;s61;122,9849455;s61;s61
DIJ-006;2019;101;2274,318122;s32;569,4054747;s10;s10
DIJ-008;2021;101;49,48839806;s61;49,48839806;s61;s61
DIJ-008;2022;101;49,48839806;s61;49,48839806;s61;s61
DIJ-009;2019;101;2318,22364;s32;477,2409731;s10;s10
DIJ-009;2020;101;2318,22364;s32;477,2409731;s10;s10
DIJ-010;2019;101;1637,974361;s32;1132,60731;s16;s32
DIJ-010;2022;101;998,9214808;s61;998,9214808;s61;s61
DIJ-011;2019;101;1673,865218;s32;1093,440731;s16;s32
DIJ-011;2020;101;1673,865218;s32;1093,440731;s16;s32
DIJ-011;2021;101;1007,281202;s61;1007,281202;s61;s61
DIJ-012B;2021;101;1025,797966;s61;1025,797966;s61;s61
DIJ-013;2021;101;934,2872544;s61;934,2872544;s61;s61
DIJ-015;2019;101;1696,933427;s32;1163,533075;s16;s32
DIJ-015;2022;101;926,3640203;s61;926,3640203;s61;s61
DIJ-016;2019;6;1829,762708;s12;778,5078206;s52;s52
DIJ-016;2021;6;1829,762708;s12;264,8245716;s70;s70
DIJ-017;2019;6;1828,037828;s12;751,022977;s52;s52
DIJ-017;2021;6;1828,037828;s12;306,4415808;s70;s70
DIJ-017;2022;6;1828,037828;s12;306,4415808;s70;s70
DIJ-019;2022;4;758,8885445;s09;200,8382304;s70;s09
DIJ-020B;2022;101;513,114828;s32;513,114828;s32;s32
DIJ-022B;2022;101;434,0384898;s32;434,0384898;s32;s32
DIJ-023B;2021;101;369,7197745;s32;369,7197745;s32;s32
DIJ-023B;2022;101;369,7197745;s32;369,7197745;s32;s32
DIJ-025;2021;4;202,3645338;s09;202,3645338;s09;s09
DIJ-026;2021;4;153,0448298;s09;153,0448298;s09;s09
DIJ-028;2019;101;954,5767556;s32;790,4446065;s09;s32
DIJ-028;2021;101;198,7795872;s67;198,7795872;s67;s67
DIJ-028;2022;101;198,7795872;s67;198,7795872;s67;s67
DIJ-030;2019;101;903,9513742;s32;796,3069522;s09;s32
DIJ-030;2022;101;265,4849583;s67;265,4849583;s67;s67
DIJ-031;2019;101;762,8417847;s32;762,8417847;s32;s32
DIJ-032;2020;101;798,6511437;s32;798,6511437;s32;s32
DIJ-032;2021;101;378,0513144;s67;378,0513144;s67;s67
