id_nestbox;site;year;date;laying_date;incubation_date;hatching_date;clutch_size;brood_size;fledgling_nb;success;father_id;mother_id;id_bird;id_ring;species;sex;age;adult_mass;adult_tarsus_l;adult_wing_l;adult_aggress;nestling_mass_j13;nestling_mass_j14;nestling_tarsus_l;nestling_wing_l
DIJ-001;drapeau;2019;20/05/2019;14/04/2019;NA;NA;12;11;NA;NA;NA;NA;COABICC0033;8790748;CC;unknown;nestling;NA;NA;NA;NA;8,00;NA;NA;NA
DIJ-001;drapeau;2019;20/05/2019;14/04/2019;NA;NA;12;11;NA;NA;NA;NA;COABICC0034;8790749;CC;unknown;nestling;NA;NA;NA;NA;7,72;NA;NA;NA
DIJ-001;drapeau;2019;20/05/2019;14/04/2019;NA;NA;12;11;NA;NA;NA;NA;COABICC0035;8790750;CC;unknown;nestling;NA;NA;NA;NA;5,22;NA;NA;NA
DIJ-001;drapeau;2019;20/05/2019;14/04/2019;NA;NA;12;11;NA;NA;NA;NA;COABICC0036;8790751;CC;unknown;nestling;NA;NA;NA;NA;5,65;NA;NA;NA
DIJ-001;drapeau;2019;20/05/2019;14/04/2019;NA;NA;12;11;NA;NA;NA;NA;COABICC0037;8790752;CC;unknown;nestling;NA;NA;NA;NA;7,05;NA;NA;NA
DIJ-002;drapeau;2020;15/05/2020;10/04/2020;NA;02/05/2020;11;10;0;0;NA;NA;DIJ-002-2020;NA;CC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DIJ-003;drapeau;2021;20/05/2021;12/04/2021;23/04/2021;07/05/2021;13;13;6;1;NA;NA;THPAGCC0866;NA;CC;unknown;nestling;NA;NA;NA;NA;7,05;NA;14,70;24,00
DIJ-003;drapeau;2021;20/05/2021;12/04/2021;23/04/2021;07/05/2021;13;13;6;1;NA;NA;THPAGCC0867;NA;CC;unknown;nestling;NA;NA;NA;NA;8,33;NA;14,99;27,00
DIJ-003;drapeau;2021;20/05/2021;12/04/2021;23/04/2021;07/05/2021;13;13;6;1;NA;NA;THPAGCC0868;NA;CC;unknown;nestling;NA;NA;NA;NA;6,21;NA;14,14;24,00
DIJ-003;drapeau;2021;20/05/2021;12/04/2021;23/04/2021;07/05/2021;13;13;6;1;NA;NA;THPAGCC0869;NA;CC;unknown;nestling;NA;NA;NA;NA;8,95;NA;15,08;28,00
