id_nestbox;coord_x;coord_y;lsource_0_m;lsource_0_iq;lsource_10_m;lsource_10_iq;lflux_0_m;lflux_0_iq;lflux_10_m;lflux_10_iq;lsource_vs150_m;lsource_vs150_iq;noise_m;noise_iq;soft_manag_area;trafic;woodyveg_volume;woodyveg_sd;vegetation_area;herbaceous_area;built_area;age_class;site;strata_div
DIJ-001;854149,4921;6694967,6;9,5;9,5;32;16,75;66,42280181;132,3607922;69,34030596;105,3796076;20;17;50,68798828;14,55056763;0;2725706,403;123906,7396;5,505942115;24152;9472;13982;1;drapeau;3
DIJ-002;854216,3624;6694982,501;8;10;30;23;23,95752854;115,3969793;58,0952585;99,30384283;17;18;50,52351761;13,19367981;0;2673881,874;145593,8616;5,452448049;26047;9616;14145;1;drapeau;3
DIJ-003;854265,8611;6694974,876;6;11;27;22,5;21,65217876;90,9060084;50,2367921;50,47964799;13;18;51,10430527;13,30675507;0;2145643,248;155853,2572;5,337121778;26880;9602;14713;1;drapeau;3
DIJ-004;854281,4983;6695007,239;7,5;11;27,5;23,5;23,81133579;87,96211487;53,49433705;64,92886243;13;17;50,55949783;13,00864792;0;2315869,852;140702,8216;5,487636368;24063;8592;16018;1;drapeau;2
DIJ-005;854299,6004;6695042,367;8;10;27;18,75;24,53016835;80,57304518;56,5728;54,69648601;14;15;50,24083328;14,19078445;0;3077566,498;125552,5038;5,401270472;22719;8239;16741;1;drapeau;3
DIJ-006;854256,8141;6695057,276;7,5;11;31;22,25;32,73438842;86,49933073;66,11838556;74,04017845;15;17;50,46184158;12,26338959;0;2616437,681;135947,0531;5,580566204;25735;9800;15655;1;drapeau;2
DIJ-007;854191,5411;6695058,978;8,5;9,25;35;13,5;52,79716369;123,8824974;72,72681882;83,8825589;20;17;49,24886703;12,63344955;0;2069683,099;132664,1608;5,647885797;27275;10966;13379;1;drapeau;3
DIJ-008;854152,1831;6695063,533;9,5;8;36;11;56,06902819;135,4223855;74,47139722;82,13904355;21;17;50,17401505;12,85959625;0;2460991,989;126120,2889;5,56525674;27084;10942;13451;1;drapeau;3
DIJ-009;854154,8167;6695003,651;9;8,75;34;15,5;56,06902819;139,1331559;71,60874594;95,11948234;21;16;49,8502121;14,59168625;0;2627621,238;129171,6203;5,553866058;25408;9955;14240;1;drapeau;3
DIJ-010;855176,9131;6694993,361;4;6;23;5;72,30674848;194,4485104;98,33201617;191,9422247;14;9;60,33011627;16,27237701;0;9760667,991;139476,165;5,37337346;31687;15297;8469;1;pascal_joffre;2
DIJ-011;855185,5231;6695038,799;4;5,25;22,5;7;66,18316202;196,0051457;98,8882451;193,0243076;13;8;60,23246384;15,41918182;0;9062011,799;154770,3115;5,429252318;35536;17858;7438;1;pascal_joffre;1
DIJ-012;855133,9438;6695078,053;4;5;21;6,5;56,37004584;164,4484203;95,33298442;166,6911043;12;9;59,75960922;14,88464737;0;7891577,205;156907,2087;5,367990026;36542;17925;7890;1;pascal_joffre;
DIJ-012B;855204,0441;6695004,401;4;6;23;6;78,45180482;196,0051457;108,2711368;190,2447461;14;10;60,3917923;15,41789722;0;9819100,778;129041,357;5,464065704;30708;15490;8863;1;pascal_joffre;2
DIJ-013;855107,8363;6695116,533;4;4;20;5,75;57,57030528;158,8014817;86,71107195;160,3871124;11;10;59,61055374;11,52455044;0;7417140,938;135946,0424;5,095450009;36179;18046;8628;1;pascal_joffre;1
DIJ-014;855045,3312;6695053,237;5;5,75;21;6;52,74127583;137,9388704;79,08019014;141,4306088;9;11;58,58774948;14,90520859;0;7356569,502;112680,5727;4,695457878;32081;15316;11156;1;pascal_joffre;
DIJ-015;855104,7523;6695020,046;4;5;22;7;54,62210024;166,5884073;85,23574877;162,0567192;12;10;58,89099503;15,82522202;0;7897299,787;136039,7017;5,247294685;33389;16658;9353;1;pascal_joffre;2
DIJ-016;854367,7471;6691723,742;5,5;8,25;23,5;9,5;67,86672292;111,1426826;96,37359738;136,5090441;13;15;53,78129578;10,20251465;0;2248855,208;120426,1163;4,479187411;26057;10197;15748;2;chevreul;3
DIJ-016B;853086,7117;6693212,921;2;3;6;4;3,633020477;15,51500901;8,682049495;31,54432961;6;5;58,20265579;5,86100769;0;3040817,782;331925,0596;7,529470125;37947;13984;9159;2;arquebuse;3
DIJ-017;854353,4282;6691673,921;4;7;23;9,5;64,81209608;105,7651227;88,67988485;121,2544666;12;13;53,57269669;11,52524185;0;2462440,596;107340,657;4,457959936;25764;10027;15091;2;chevreul;2
DIJ-018;854397,0431;6691685,757;5;9;25;11;63,92397406;113,3941227;84,20998838;119,6213103;14;14;54,07049561;10,62919998;0;2272893,103;124920,3667;4,440179116;27001;10460;16725;2;chevreul;
