id_nestbox;site;coord_x;coord_y;year;species;breeding_window;laying_date;flight_date;clutch_size;brood_size;fledgling_nb;mass;tarsus_length;wing_length;father_id;father_cond;mother_id;mother_cond;cumdd_30;min_t_before;min_t_between;mean_winter_t;sd_winter_t;lsource_0_m;lsource_0_iq;lsource_10_m;lsource_10_iq;lflux_0_m;lflux_0_iq;lflux_10_m;lflux_10_iq;lsource_vs150_m;lsource_vs150_iq;noise_m;noise_iq;trafic;age_class;strata_div;woodyveg_volume;woodyveg_sd;vegetation_area;woody_area;herbaceous_area;soft_manag_area;open_area;built_area
DIJ-002;drapeau;854216,3624;6694982,501;2020;CC;late_2020;2020-04-10;2020-05-15;11;10,00000000000000;0;NA;NA;NA;NA;NA;NA;NA;299,940000000000;-0,088000000000000;4,0890000000000004;5,91113105726872;3,72956499571859;8,0;10,00;30,0;23,00;23,957528540;115,396979300;58,095258500;99,303842830;17;18;50,52351761;13,193679810;2673881,874000;1;3;145593,86160;5,452448049;26047;16431;9616;0,000000000;30161;14145
DIJ-003;drapeau;854265,8611;6694974,876;2021;CC;late_2021;2021-04-12;2021-05-20;13;13,00000000000000;6;7,75333333333333;14,8100000000000;26,1666666666667;NA;NA;NA;NA;241,903800000000;-1,214903333333332;-0,7351666666666669;5,29520661157025;3,70277426379500;6,0;11,00;27,0;22,50;21,652178760;90,906008400;50,236792100;50,479647990;13;18;51,10430527;13,306755070;2145643,248000;1;3;155853,25720;5,337121778;26880;17278;9602;0,000000000;28760;14713
DIJ-004;drapeau;854281,4983;6695007,239;2019;CC;early_2019;2019-04-01;2019-05-05;12;11,00000000000000;4;7,80750000000000;NA;NA;NA;NA;NA;NA;273,460000000000;-0,479000000000000;-0,1990000000000000;5,91113105726872;3,72956499571859;7,5;11,00;27,5;23,50;23,811335790;87,962114870;53,494337050;64,928862430;13;17;50,55949783;13,008647920;2315869,852000;1;2;140702,82160;5,487636368;24063;15471;8592;0,000000000;30272;16018
DIJ-004;drapeau;854281,4983;6695007,239;2020;PM;late_2020;2020-04-03;2020-05-05;7;6,00000000000000;6;17,32500000000000;19,1850000000000;NA;NA;-0,33606830357652889;8791875;-1,8803307229869568;259,180000000000;-0,088000000000000;2,9300000000000002;5,91113105726872;3,72956499571859;7,5;11,00;27,5;23,50;23,811335790;87,962114870;53,494337050;64,928862430;13;17;50,55949783;13,008647920;2315869,852000;1;2;140702,82160;5,487636368;24063;15471;8592;0,000000000;30272;16018
DIJ-005;drapeau;854299,6004;6695042,367;2021;PM;late_2021;2021-04-18;2021-05-19;7;5,00000000000000;5;16,05200000000000;19,7140000000000;40,8000000000000;8876548;0,25086728393334168;NA;-0,5794720933061799;247,252333333333;-1,350596666666666;-0,6304566666666668;5,29520661157025;3,70277426379500;8,0;10,00;27,0;18,75;24,530168350;80,573045180;56,572800000;54,696486010;14;15;50,24083328;14,190784450;3077566,498000;1;3;125552,50380;5,401270472;22719;14480;8239;0,000000000;30893;16741
DIJ-006;drapeau;854256,8141;6695057,276;2019;PM;early_2019;2019-04-01;2019-05-05;10;9,00000000000000;7;15,25571428571429;NA;NA;NA;-0,02461100860436880;NA;-0,3540197441654819;273,460000000000;-0,479000000000000;-0,1990000000000000;5,91113105726872;3,72956499571859;7,5;11,00;31,0;22,25;32,734388420;86,499330730;66,118385560;74,040178450;15;17;50,46184158;12,263389590;2616437,681000;1;2;135947,05310;5,580566204;25735;15935;9800;0,000000000;28963;15655
DIJ-008;drapeau;854152,1831;6695063,533;2021;PM;early_2021;2021-04-03;2021-05-08;8;8,00000000000000;7;14,96000000000000;19,6842857142857;42,8571428571429;8791992;-0,88618568205123827;NA;-0,7421691274872674;233,634433333333;-1,276853333333335;-1,8417033333333312;5,29520661157025;3,70277426379500;9,5;8,00;36,0;11,00;56,069028190;135,422385500;74,471397220;82,139043550;21;17;50,17401505;12,859596250;2460991,989000;1;3;126120,28890;5,565256740;27084;16142;10942;0,000000000;29818;13451
DIJ-008;drapeau;854152,1831;6695063,533;2022;PM;early_2022;2022-03-30;2022-05-02;8;8,00000000000000;8;15,19000000000000;20,1925000000000;41,6250000000000;NA;-0,34933032694019550;8876570;-1,1107443884239605;259,700000000000;-3,360000000000000;-2,9500000000000002;5,29520661157025;3,70277426379500;9,5;8,00;36,0;11,00;56,069028190;135,422385500;74,471397220;82,139043550;21;17;50,17401505;12,859596250;2460991,989000;1;3;126120,28890;5,565256740;27084;16142;10942;0,000000000;29818;13451
DIJ-009;drapeau;854154,8167;6695003,651;2019;PM;early_2019;2019-04-01;2019-05-05;8;8,00000000000000;6;13,92333333333333;NA;NA;NA;-0,37154342798020995;NA;-0,4158367993121684;273,460000000000;-0,479000000000000;-0,1990000000000000;5,91113105726872;3,72956499571859;9,0;8,75;34,0;15,50;56,069028190;139,133155900;71,608745940;95,119482340;21;16;49,85021210;14,591686250;2627621,238000;1;3;129171,62030;5,553866058;25408;15453;9955;0,000000000;30705;14240
DIJ-009;drapeau;854154,8167;6695003,651;2020;PM;late_2020;2020-04-08;2020-05-10;6;6,00000000000000;6;13,86500000000000;18,1200000000000;NA;8791992;-0,88618568205123827;NA;-0,7346810156026629;283,940000000000;-0,088000000000000;4,4800000000000004;5,91113105726872;3,72956499571859;9,0;8,75;34,0;15,50;56,069028190;139,133155900;71,608745940;95,119482340;21;16;49,85021210;14,591686250;2627621,238000;1;3;129171,62030;5,553866058;25408;15453;9955;0,000000000;30705;14240
DIJ-010;pascal_joffre;855176,9131;6694993,361;2019;PM;early_2019;2019-03-27;2019-05-02;11;11,00000000000000;7;13,26285714285714;NA;NA;NA;0,23532429554841461;NA;-0,0697919161143543;266,690000000000;-0,676000000000000;0,0510000000000000;5,74497832817337;3,77193716082082;4,0;6,00;23,0;5,00;72,306748480;194,448510400;98,332016170;191,942224700;14;9;60,33011627;16,272377010;9760667,991000;1;2;139476,16500;5,373373460;31687;16390;15297;0,000000000;30197;8469
