id_nestbox;year;breeding_window;laying_date;flight_date;clutch_size;brood_size;fledgling_nb;success_manipulated;father_id;mother_id;species;mass;tarsus_length;wing_length;temp_station_id;cumdd_30;cumdd_60;cumdd_between;min_t_before;min_t_between;mean_winter_t;sd_winter_t
DIJ-002;2020;late_2020;2020-04-10;2020-05-15;11;10;0;0;NA;NA;CC;NA;NA;NA;s10;299,940;525,330;519,880;-0,088;4,089;5,91113105726872;3,72956499571859
DIJ-003;2021;late_2021;2021-04-12;2021-05-20;13;13;6;0;NA;NA;CC;7,75333333333333;14,8100000000000;26,1666666666667;s61;NA;NA;428,680;NA;1,560;5,29520661157025;3,70277426379500
DIJ-004;2019;early_2019;2019-04-01;2019-05-05;12;11;4;0;NA;NA;CC;7,80750000000000;NA;NA;s10;273,460;471,350;369,340;-0,479;-0,199;5,91113105726872;3,72956499571859
DIJ-004;2020;late_2020;2020-04-03;2020-05-05;7;6;6;0;NA;8791875;PM;17,32500000000000;19,1850000000000;NA;s10;259,180;487,750;473,530;-0,088;2,930;5,91113105726872;3,72956499571859
DIJ-005;2021;late_2021;2021-04-18;2021-05-19;7;5;5;0;8876548;NA;PM;16,05200000000000;19,7140000000000;40,8000000000000;s61;NA;NA;351,310;NA;1,560;5,29520661157025;3,70277426379500
DIJ-005;2022;late_2022;2022-04-05;2022-05-09;9;6;4;1;8876548;NA;PM;17,16500000000000;19,9625000000000;45,3750000000000;s61;251,510;435,950;420,520;-3,360;-0,030;5,29520661157025;3,70277426379500
DIJ-006;2019;early_2019;2019-04-01;2019-05-05;10;9;7;0;NA;NA;PM;15,25571428571429;NA;NA;s10;273,460;471,350;369,340;-0,479;-0,199;5,91113105726872;3,72956499571859
DIJ-008;2021;early_2021;2021-04-03;2021-05-08;8;8;7;0;8791992;NA;PM;14,96000000000000;19,6842857142857;42,8571428571429;s61;NA;NA;377,200;NA;1,560;5,29520661157025;3,70277426379500
DIJ-008;2022;early_2022;2022-03-30;2022-05-02;8;8;8;0;NA;8876570;PM;15,19000000000000;20,1925000000000;41,6250000000000;s61;259,700;440,110;343,000;-3,360;-2,950;5,29520661157025;3,70277426379500
DIJ-009;2019;early_2019;2019-04-01;2019-05-05;8;8;6;0;NA;NA;PM;13,92333333333333;NA;NA;s10;273,460;471,350;369,340;-0,479;-0,199;5,91113105726872;3,72956499571859
DIJ-009;2020;late_2020;2020-04-08;2020-05-10;6;6;6;0;8791992;NA;PM;13,86500000000000;18,1200000000000;NA;s10;283,940;507,690;491,890;-0,088;4,480;5,91113105726872;3,72956499571859
DIJ-010;2019;early_2019;2019-03-27;2019-05-02;11;11;7;0;NA;NA;PM;13,26285714285714;NA;NA;s32;266,690;421,520;384,320;-0,676;0,051;5,74497832817337;3,77193716082082
DIJ-010;2022;early_2022;2022-04-01;2022-05-06;8;8;7;0;NA;8876591;PM;16,05428571428572;19,3400000000000;44,5714285714286;s61;266,710;449,370;390,010;-3,360;-2,950;5,29520661157025;3,70277426379500
DIJ-011;2019;late_2019;2019-04-06;2019-05-08;7;5;5;0;NA;NA;PM;16,00200000000000;NA;NA;s32;268,460;487,340;339,210;-0,676;0,051;5,74497832817337;3,77193716082082
DIJ-011;2020;early_2020;2020-03-29;2020-05-03;8;7;4;0;8791857;NA;PM;17,67000000000000;20,3400000000000;NA;s32;249,140;484,290;463,920;-0,032;-0,032;5,74497832817337;3,77193716082082
DIJ-011;2021;early_2021;2021-03-26;2021-04-27;8;7;4;0;NA;8791927;PM;13,15250000000000;19,4850000000000;34,5000000000000;s61;NA;NA;351,940;NA;NA;5,29520661157025;3,70277426379500
DIJ-012B;2021;early_2021;2021-03-30;2021-05-05;5;3;3;0;NA;8876506;PM;17,46333333333333;19,4333333333333;46,1666666666667;s61;NA;NA;390,720;NA;1,560;5,29520661157025;3,70277426379500
DIJ-013;2021;late_2021;2021-04-05;2021-05-15;10;10;7;0;NA;NA;CC;7,82571428571429;15,4585714285714;31,3571428571429;s61;NA;NA;445,140;NA;1,560;5,29520661157025;3,70277426379500
DIJ-015;2019;early_2019;2019-04-02;2019-05-05;8;8;6;0;NA;NA;PM;15,19000000000000;NA;NA;s32;275,350;472,490;343,820;-0,676;0,051;5,74497832817337;3,77193716082082
DIJ-015;2022;early_2022;2022-04-01;2022-05-06;8;8;5;0;NA;8876590;PM;15,76800000000000;19,2180000000000;46,6000000000000;s61;266,710;449,370;390,010;-3,360;-2,950;5,29520661157025;3,70277426379500
DIJ-016;2019;late_2019;2019-04-04;2019-05-10;11;10;0;0;NA;NA;CC;NA;NA;NA;s52;282,730;494,300;392,450;-1,157;-0,004;6,02900000000000;3,77575221188514
DIJ-016;2021;late_2021;2021-04-05;2021-05-13;12;10;2;0;NA;NA;CC;6,03500000000000;12,0100000000000;17,5000000000000;s70;249,990;453,160;384,420;-0,370;-1,500;5,62514462809917;3,90641847085695
DIJ-017;2019;early_2019;2019-03-27;2019-05-01;8;6;0;0;NA;NA;PM;NA;NA;NA;s52;270,400;433,710;386,830;-1,157;-0,004;6,02900000000000;3,77575221188514
DIJ-017;2021;early_2021;2021-03-31;2021-05-05;8;8;2;0;8876505;7581728;PM;16,88000000000000;18,8800000000000;47,0000000000000;s70;222,450;432,310;342,990;-0,370;-1,500;5,62514462809917;3,90641847085695
DIJ-017;2022;early_2022;2022-03-28;2022-04-30;7;7;7;0;8877090;8877091;PM;13,80714285714286;18,5557142857143;40,8571428571429;s70;264,240;445,180;362,600;-1,240;-1,560;5,62514462809917;3,90641847085695
DIJ-019;2022;late_2022;2022-04-09;2022-05-14;11;11;10;0;NA;NA;CC;9,12200000000000;16,1510000000000;37,6000000000000;s09;300,920;503,980;515,380;-1,010;1,180;6,23950884955752;3,81838961756656
DIJ-020B;2022;late_2022;2022-04-12;2022-05-15;9;9;7;0;NA;NA;CC;8,98571428571429;16,0442857142857;38,3571428571429;s32;NA;NA;NA;NA;NA;5,74497832817337;3,77193716082082
DIJ-022B;2022;late_2022;2022-04-06;2022-05-12;12;9;8;0;NA;NA;CC;9,43375000000000;16,4887500000000;37,4375000000000;s32;NA;NA;NA;NA;NA;5,74497832817337;3,77193716082082
DIJ-023B;2021;early_2021;2021-03-29;2021-05-02;10;10;8;0;NA;NA;CC;8,56000000000000;15,0775000000000;31,5625000000000;s32;167,550;376,970;NA;-0,648;NA;5,74497832817337;3,77193716082082
DIJ-023B;2022;early_2022;2022-03-25;2022-04-15;10;0;0;0;NA;NA;CC;NA;NA;NA;s32;NA;NA;NA;NA;NA;5,74497832817337;3,77193716082082
DIJ-025;2021;early_2021;2021-03-30;2021-05-02;9;8;1;0;NA;8877010;PM;10,12000000000000;15,6800000000000;27,0000000000000;s09;223,930;443,140;335,630;0,470;-1,130;6,23950884955752;3,81838961756656
DIJ-026;2021;late_2021;2021-04-14;2021-05-21;12;12;6;0;NA;NA;CC;6,03000000000000;13,3566666666667;23,7500000000000;s09;260,360;502,990;430,280;-1,130;1,780;6,23950884955752;3,81838961756656
DIJ-028;2019;late_2019;2019-04-05;2019-05-10;7;7;0;0;NA;NA;PM;NA;NA;NA;s32;271,740;483,030;370,420;-0,676;0,051;5,74497832817337;3,77193716082082
DIJ-028;2021;early_2021;2021-03-30;2021-05-01;7;7;7;0;8877006;8877007;PM;12,78571428571428;17,8100000000000;36,7142857142857;s67;212,860;424,880;315,970;-0,590;-1,470;5,52811203319502;3,93854016206889
DIJ-028;2022;late_2022;2022-04-02;2022-05-05;4;3;3;0;NA;8381527;PM;15,58666666666667;19,0233333333333;44,0000000000000;s67;280,950;472,190;391,510;-1,990;-1,500;5,52811203319502;3,93854016206889
DIJ-030;2019;late_2019;2019-04-08;2019-05-13;9;8;4;0;NA;NA;PM;12,30000000000000;NA;NA;s32;267,150;501,340;379,440;-0,676;0,051;5,74497832817337;3,77193716082082
DIJ-030;2022;late_2022;2022-04-06;2022-05-11;7;7;5;0;NA;NA;CC;10,19200000000000;16,3120000000000;32,0000000000000;s67;272,800;465,280;465,380;-1,990;0,740;5,52811203319502;3,93854016206889
DIJ-031;2019;early_2019;2019-03-27;2019-04-30;9;9;7;0;NA;NA;PM;17,57714285714286;18,6000000000000;47,0000000000000;s32;266,690;421,520;359,200;-0,676;0,051;5,74497832817337;3,77193716082082
DIJ-032;2020;early_2020;2020-03-29;2020-05-03;9;9;9;0;NA;NA;CC;11,51500000000000;16,8700000000000;NA;s32;249,140;484,290;463,920;-0,032;-0,032;5,74497832817337;3,77193716082082
DIJ-032;2021;early_2021;2021-03-31;2021-05-06;10;8;8;0;NA;NA;CC;10,26625000000000;17,7237500000000;36,7500000000000;s67;220,380;428,960;349,590;-0,590;-1,470;5,52811203319502;3,93854016206889
DIJ-033;2019;late_2019;2019-04-13;2019-05-15;9;8;5;0;NA;NA;PM;13,50400000000000;NA;NA;s32;277,570;519,650;358,330;0,329;0,051;5,74497832817337;3,77193716082082
DIJ-036;2020;late_2020;2020-04-08;2020-05-10;9;9;7;0;NA;7636298;PM;12,12500000000000;19,6750000000000;NA;s10;283,940;507,690;491,890;-0,088;4,480;5,91113105726872;3,72956499571859
DIJ-036;2021;late_2021;2021-04-05;2021-04-23;7;0;0;0;NA;NA;PM;NA;NA;NA;s63;240,010;433,750;129,360;-0,730;-2,020;5,39321576763485;3,82756655873986
DIJ-037;2021;early_2021;2021-04-03;2021-05-06;6;5;5;0;8876509;NA;PM;13,08800000000000;19,2300000000000;40,1000000000000;s63;235,010;436,850;298,760;-0,730;-2,020;5,39321576763485;3,82756655873986
DIJ-038;2020;early_2020;2020-03-12;2020-04-14;9;0;0;0;NA;NA;PM;NA;NA;NA;s10;226,560;412,320;339,720;-0,395;-0,088;5,91113105726872;3,72956499571859
DIJ-039;2021;late_2021;2021-04-23;2021-05-10;6;0;0;0;NA;NA;PM;NA;NA;NA;s63;272,010;482,510;191,480;-2,020;2,930;5,39321576763485;3,82756655873986
DIJ-040;2020;early_2020;2020-03-23;2020-04-29;11;11;10;0;8382543;NA;PM;14,26000000000000;18,4100000000000;NA;s42;254,910;460,070;444,230;-0,648;-0,395;5,78057411504425;3,64153668413190
DIJ-040;2021;late_2021;2021-04-05;2021-05-12;9;9;9;0;NA;8877036;CC;10,67555555555556;16,8888888888889;38,6111111111111;s42;234,790;428,730;353,200;-1,128;-1,814;5,78057411504425;3,64153668413190
DIJ-040;2022;early_2022;2022-03-30;2022-05-04;9;9;10;1;NA;NA;PM;14,87600000000000;19,0530000000000;42,9500000000000;s42;258,810;442,830;373,270;-2,600;-2,190;5,78057411504425;3,64153668413190
DIJ-041;2019;late_2019;2019-04-10;2019-05-16;12;5;0;0;NA;NA;CC;NA;NA;NA;s42;260,700;499,240;393,310;-0,873;-0,563;5,78057411504425;3,64153668413190
