id_nestbox;year;date;laying_date;incubation_date;hatching_date;clutch_size;brood_size;fledgling_nb;success_manipulated;father_id;mother_id;species;mass;tarsus_length;wing_length
DIJ-002;2020;15/05/2020;10/04/2020;NA;02/05/2020;11;10;0;0;NA;NA;CC;NA;NA;NA
DIJ-003;2021;20/05/2021;12/04/2021;23/04/2021;07/05/2021;13;13;6;0;NA;NA;CC;7,75333333333333;14,8100000000000;26,1666666666667
DIJ-004;2019;05/05/2019;01/04/2019;NA;NA;12;11;4;0;NA;NA;CC;7,80750000000000;NA;NA
DIJ-004;2020;05/05/2020;03/04/2020;NA;NA;7;6;6;0;NA;8791875;PM;17,32500000000000;19,1850000000000;NA
DIJ-005;2021;19/05/2021;18/04/2021;23/04/2021;06/05/2021;7;5;5;0;8876548;NA;PM;16,05200000000000;19,7140000000000;40,8000000000000
DIJ-005;2022;09/05/2022;05/04/2022;12/04/2022;26/04/2022;9;6;4;1;8876548;NA;PM;17,16500000000000;19,9625000000000;45,3750000000000
DIJ-006;2019;05/05/2019;01/04/2019;NA;NA;10;9;7;0;NA;NA;PM;15,25571428571429;NA;NA
DIJ-008;2021;08/05/2021;03/04/2021;09/04/2021;25/04/2021;8;8;7;0;8791992;NA;PM;14,96000000000000;19,6842857142857;42,8571428571429
DIJ-008;2022;02/05/2022;30/03/2022;05/04/2022;19/04/2022;8;8;8;0;NA;8876570;PM;15,19000000000000;20,1925000000000;41,6250000000000
DIJ-009;2019;05/05/2019;01/04/2019;NA;NA;8;8;6;0;NA;NA;PM;13,92333333333333;NA;NA
DIJ-009;2020;10/05/2020;08/04/2020;NA;NA;6;6;6;0;8791992;NA;PM;13,86500000000000;18,1200000000000;NA
DIJ-010;2019;02/05/2019;27/03/2019;NA;NA;11;11;7;0;NA;NA;PM;13,26285714285714;NA;NA
DIJ-010;2022;06/05/2022;01/04/2022;07/04/2022;23/04/2022;8;8;7;0;NA;8876591;PM;16,05428571428572;19,3400000000000;44,5714285714286
DIJ-011;2019;08/05/2019;06/04/2019;NA;NA;7;5;5;0;NA;NA;PM;16,00200000000000;NA;NA
DIJ-011;2020;03/05/2020;29/03/2020;NA;NA;8;7;4;0;8791857;NA;PM;17,67000000000000;20,3400000000000;NA
DIJ-011;2021;27/04/2021;26/03/2021;01/04/2021;14/04/2021;8;7;4;0;NA;8791927;PM;13,15250000000000;19,4850000000000;34,5000000000000
DIJ-012B;2021;05/05/2021;30/03/2021;02/04/2021;22/04/2021;5;3;3;0;NA;8876506;PM;17,46333333333333;19,4333333333333;46,1666666666667
DIJ-013;2021;15/05/2021;05/04/2021;13/04/2021;02/05/2021;10;10;7;0;NA;NA;CC;7,82571428571429;15,4585714285714;31,3571428571429
DIJ-015;2019;05/05/2019;02/04/2019;NA;NA;8;8;6;0;NA;NA;PM;15,19000000000000;NA;NA
DIJ-015;2022;06/05/2022;01/04/2022;07/04/2022;23/04/2022;8;8;5;0;NA;8876590;PM;15,76800000000000;19,2180000000000;46,6000000000000
DIJ-016;2019;10/05/2019;04/04/2019;13/04/2019;27/04/2019;11;10;0;0;NA;NA;CC;NA;NA;NA
DIJ-016;2021;13/05/2021;05/04/2021;15/04/2021;30/04/2021;12;10;2;0;NA;NA;CC;6,03500000000000;12,0100000000000;17,5000000000000
DIJ-017;2019;01/05/2019;27/03/2019;01/04/2019;14/04/2019;8;6;0;0;NA;NA;PM;NA;NA;NA
DIJ-017;2021;05/05/2021;31/03/2021;06/04/2021;22/04/2021;8;8;2;0;8876505;7581728;PM;16,88000000000000;18,8800000000000;47,0000000000000
DIJ-017;2022;30/04/2022;28/03/2022;02/04/2022;17/04/2022;7;7;7;0;8877090;8877091;PM;13,80714285714286;18,5557142857143;40,8571428571429
DIJ-019;2022;14/05/2022;09/04/2022;18/04/2022;01/05/2022;11;11;10;0;NA;NA;CC;9,12200000000000;16,1510000000000;37,6000000000000
DIJ-020B;2022;15/05/2022;12/04/2022;19/04/2022;02/05/2022;9;9;7;0;NA;NA;CC;8,98571428571429;16,0442857142857;38,3571428571429
DIJ-022B;2022;12/05/2022;06/04/2022;16/04/2022;29/04/2022;12;9;8;0;NA;NA;CC;9,43375000000000;16,4887500000000;37,4375000000000
DIJ-023B;2021;02/05/2021;29/03/2021;06/04/2021;19/04/2021;10;10;8;0;NA;NA;CC;8,56000000000000;15,0775000000000;31,5625000000000
DIJ-023B;2022;15/04/2022;25/03/2022;02/04/2022;NA;10;0;0;0;NA;NA;CC;NA;NA;NA
DIJ-025;2021;02/05/2021;30/03/2021;06/04/2021;19/04/2021;9;8;1;0;NA;8877010;PM;10,12000000000000;15,6800000000000;27,0000000000000
DIJ-026;2021;21/05/2021;14/04/2021;24/04/2021;09/05/2021;12;12;6;0;NA;NA;CC;6,03000000000000;13,3566666666667;23,7500000000000
DIJ-028;2019;10/05/2019;05/04/2019;10/04/2019;27/04/2019;7;7;0;0;NA;NA;PM;NA;NA;NA
DIJ-028;2021;01/05/2021;30/03/2021;04/04/2021;18/04/2021;7;7;7;0;8877006;8877007;PM;12,78571428571428;17,8100000000000;36,7142857142857
DIJ-028;2022;05/05/2022;02/04/2022;04/04/2022;22/04/2022;4;3;3;0;NA;8381527;PM;15,58666666666667;19,0233333333333;44,0000000000000
DIJ-030;2019;13/05/2019;08/04/2019;NA;NA;9;8;4;0;NA;NA;PM;12,30000000000000;NA;NA
DIJ-030;2022;11/05/2022;06/04/2022;11/04/2022;28/04/2022;7;7;5;0;NA;NA;CC;10,19200000000000;16,3120000000000;32,0000000000000
DIJ-031;2019;30/04/2019;27/03/2019;NA;NA;9;9;7;0;NA;NA;PM;17,57714285714286;18,6000000000000;47,0000000000000
DIJ-032;2020;03/05/2020;29/03/2020;NA;NA;9;9;9;0;NA;NA;CC;11,51500000000000;16,8700000000000;NA
DIJ-032;2021;06/05/2021;31/03/2021;08/04/2021;23/04/2021;10;8;8;0;NA;NA;CC;10,26625000000000;17,7237500000000;36,7500000000000
DIJ-033;2019;15/05/2019;13/04/2019;NA;NA;9;8;5;0;NA;NA;PM;13,50400000000000;NA;NA
DIJ-036;2020;10/05/2020;08/04/2020;NA;NA;9;9;7;0;NA;7636298;PM;12,12500000000000;19,6750000000000;NA
DIJ-036;2021;23/04/2021;05/04/2021;10/05/2021;NA;7;0;0;0;NA;NA;PM;NA;NA;NA
DIJ-037;2021;06/05/2021;03/04/2021;07/04/2021;23/04/2021;6;5;5;0;8876509;NA;PM;13,08800000000000;19,2300000000000;40,1000000000000
DIJ-038;2020;14/04/2020;NA;NA;NA;9;0;0;0;NA;NA;PM;NA;NA;NA
DIJ-039;2021;10/05/2021;23/04/2021;27/04/2021;NA;6;0;0;0;NA;NA;PM;NA;NA;NA
DIJ-040;2020;29/04/2020;23/03/2020;NA;NA;11;11;10;0;8382543;NA;PM;14,26000000000000;18,4100000000000;NA
DIJ-040;2021;12/05/2021;05/04/2021;12/04/2021;29/04/2021;9;9;9;0;NA;8877036;CC;10,67555555555556;16,8888888888889;38,6111111111111
DIJ-040;2022;04/05/2022;30/03/2022;06/04/2022;21/04/2022;9;9;10;1;NA;NA;PM;14,87600000000000;19,0530000000000;42,9500000000000
DIJ-041;2019;16/05/2019;10/04/2019;20/04/2019;03/05/2019;12;5;0;0;NA;NA;CC;NA;NA;NA
DIJ-041;2021;04/05/2021;31/03/2021;07/04/2021;21/04/2021;9;9;4;0;NA;NA;PM;13,27000000000000;16,9975000000000;32,3750000000000
DIJ-042;2020;12/05/2020;11/04/2020;NA;NA;8;8;5;0;8791966;NA;PM;15,77500000000000;18,0350000000000;NA
DIJ-044;2019;13/05/2019;10/04/2019;NA;NA;8;8;6;0;NA;8791391;PM;11,04166666666667;NA;NA
DIJ-044;2020;03/05/2020;24/03/2020;NA;NA;10;10;7;0;NA;NA;CC;8,75500000000000;15,7550000000000;NA
